2018年12月04日（昼）,4421689,4150144,3861827,3530607,3266160,3241284,2774105,2632009,2631040,2389907,2361389,2318174,2276068,2229446,2215541,2166154,2143869,2138004,2130047,2053027,2045883,2009140,2017294,1985993,1865051,1838629,1795991,1799593,1792747,1722685,1680362,1666249,1663939,1645804,1640216,1628513,1624331,1564854,1565844,1557084,1512449,1507405,1479424,1464993,1370153,1347199,1334776,1335550,1314431,1313359,1320656,1311267,1306555,1307445,1296664,1293960,1292323,1268187,1266816,1279794,1269268,1260351,1277496,1250883,1254293,1239498,1238991,1231286,1221069,1209363,1193382,1182482,1161766,1154804,1164036,1145658,1135100,1130551,1128823,1113817,1116130,1106431,1097536,1086554,1075928,1106131,1062774,1062623,1049977,1036756,1043312,1037640,1026570,1019209,1022986,1000658,992166,991069,992300,977975,976511,968643,954048,947447,942394,935117,957964,922792,908996,917106,904739,903285,889871,873581,870873,864927,874845,858225,856525,857512,854535,848140,833793,830479,827690,822871,816373,813495,809763,799500,795132,790319,784353,787079,784694,770783,771972,770524,762548,781009,763364,762373,756113,752603,749238,744984,747987,737000,728740,725290,728021,726811,718087,716225,716850,714087,715410,707449,704217,703185,701979,698184,696947,692278,695507,691521,681986,671648,668960,668665,668882,667792,658797,658497,657535,656350,656217,654376,648191,647459,643107,644617,649657,639135,637563,648337,635054,634248,630257,628747,618841,619369,614667,610698,609252,609477,604668,601414,603800,598024,596737,597364,594608,596477,589683,589870,586838,583340,580774,582729,588327,581941,579799,578327,583797,587833,578736,574452,575553,577771,573771,585391,568166,567248,568148,568231,581093,565655,563080,563736,562497,561193,560014,561177,557249,555907,550410,548633,544195,540778,548206,539724,537752,537085,542776,531578,534865,528783,526750,522277,523078,521640,517098,517687,524524,530605,514727,524425,513426,511457,504402,505778,515623,500520,505278,499607,495110,496755,493461,493051,488847,486898,480632,485141,475386,483078,465510,471594,474851,464993,458177,422463,430490,404071,391805,361418,359184,303888,265630,239903,233928,216475,208938,212986,166882,165852,162663,162273,160347,158011,153666,148264,146773,139225,132042,119098,117504,99089,98171,86208,81069,79756,72772,72344,69708,67898,64478,65025,63002,58084,55868,54807,50829,50209
2018年12月04日（夜）,4422910,4150754,3862685,3530421,3267276,3242784,2774953,2632942,2634114,2391346,2362734,2319429,2276399,2230741,2216095,2169524,2144239,2138855,2131137,2053203,2046168,2009588,2021007,1967215,1865111,1844547,1796016,1801355,1794576,1723045,1680888,1666873,1664673,1646454,1641153,1628490,1624908,1565593,1566631,1557804,1513044,1509158,1478459,1466490,1371133,1347834,1335160,1333722,1314447,1313463,1321689,1311300,1306826,1308091,1296822,1294187,1293105,1268315,1266891,1283106,1270537,1260376,1279571,1250893,1255029,1240775,1239667,1232276,1221731,1209771,1195970,1183693,1161898,1155119,1164941,1145773,1135049,1131267,1129524,1114111,1117113,1107127,1097840,1087569,1076152,1108367,1063335,1063402,1050047,1037223,1045032,1038518,1026956,1019780,1025000,1000825,992597,991545,993607,978378,976580,968743,954460,947926,943444,935390,959831,922957,909211,917380,904777,903450,890331,873493,872068,865364,876972,858344,856362,857818,855011,848410,833984,830726,828465,823487,817423,814461,810004,799602,795704,790755,784326,787247,784967,770829,772496,770794,762293,782482,763472,762934,756553,752846,749526,745122,749505,737260,728803,725480,728465,728537,718202,716227,717108,714930,716485,708110,704321,703494,702202,698673,697413,692633,696682,691965,682208,671888,668898,668691,668981,667883,658660,658799,657756,656351,656507,654781,648279,647520,643480,645339,650532,639395,637633,649010,635309,634378,630888,629007,619001,619614,616558,610706,609415,609889,604917,601506,605055,598071,596813,598068,594778,596882,589852,590204,586974,583621,580639,583088,590209,582559,580027,578345,585116,589309,579102,574277,575812,578277,573664,586717,568275,567360,568335,568676,582798,566416,563173,564193,562797,561368,560077,561324,557303,555882,550736,549187,544128,541002,549017,539889,537846,537232,543323,531720,535963,528810,527068,522524,523292,521743,517317,517888,525779,533914,514842,526246,513468,511947,504578,506191,516465,500818,506496,500445,495339,497605,493944,493626,488454,487404,480780,485708,477001,483612,465991,472426,476029,466161,459464,422484,432642,404400,392022,361462,359335,304043,266696,240010,233929,216507,209014,214116,166917,165890,162684,162426,160395,158283,153653,148271,146938,139243,132053,119228,117557,99159,98172,86246,81104,79756,72784,72358,69727,67942,64479,65180,63029,58079,55868,54902,50830,50183
2018年12月05日（昼）,4423368,4151077,3863208,3530293,3267714,3243309,2775283,2633587,2635643,2391880,2363249,2320138,2276776,2231743,2216394,2171041,2144291,2139176,2131588,2053324,2046281,2009753,2021686,1963034,1865172,1847092,1796028,1802164,1795928,1723165,1681073,1667136,1665044,1646797,1641664,1628462,1626219,1565764,1567003,1558051,1513555,1510656,1478064,1467476,1371652,1348270,1335258,1333485,1314477,1313507,1321999,1311334,1306909,1308207,1296876,1294270,1293517,1268409,1266880,1284935,1271070,1260395,1280285,1250901,1255224,1241320,1240362,1232734,1222074,1210048,1198287,1184316,1161946,1155307,1165823,1145819,1135001,1131880,1129817,1114253,1118314,1107461,1098004,1088217,1076254,1108996,1063524,1063890,1050084,1037615,1046187,1038902,1027090,1019960,1026144,1000881,992717,991737,994491,978833,976614,968775,954607,948137,944607,935490,960387,923023,909188,917552,905047,903517,890574,873544,872680,865634,877900,858413,856290,857941,855127,848529,834057,830799,828792,823692,817999,814917,810283,799652,796004,791116,784339,787417,785080,770847,772801,770895,762188,782914,763503,763136,756708,752950,749621,745211,749969,737595,728823,725561,728859,729314,718238,716228,717305,715327,717120,708718,704400,703626,702299,698988,697559,692783,697515,692416,682278,671969,668862,668701,669020,667931,658618,659012,657873,656337,656644,654982,648293,647540,643618,645426,651012,639619,637715,649223,635529,634496,631128,629146,619169,619712,619691,610708,609540,610128,605160,601553,605338,598092,596837,598130,594880,597043,589932,590389,587054,583699,580569,584595,590940,582901,580345,578365,585731,590076,579224,574194,575934,578619,573611,587604,568292,567401,568401,568850,583933,566680,563222,564244,562922,561425,560100,561379,557300,555869,550887,549432,544095,541056,549185,539952,537907,537072,543610,531775,536292,528820,527128,522620,523353,521789,517390,517971,526428,535566,514965,527268,513478,512140,504631,506325,516946,501032,507866,500849,495499,498062,494234,493799,488463,487757,480859,486023,477453,483747,466048,472808,476541,466642,460017,422487,433538,404500,392166,361441,359378,304109,266914,240058,233932,216518,209033,214554,166921,165912,162696,162505,160418,158588,153655,148261,146996,139241,132057,119261,117592,99163,98170,86250,81122,79758,72780,72361,69770,67963,64483,65291,63040,58070,55863,54950,50831,50178
2018年12月05日（夜）,4424447,4151857,3863960,3530221,3269125,3244231,2775995,2634877,2637792,2393380,2364548,2321400,2277394,2233679,2216925,2174334,2144572,2140501,2132496,2053495,2046674,2010697,2023283,1959035,1865475,1852863,1796096,1803835,1797281,1723438,1682666,1667549,1666023,1647562,1642492,1628534,1627531,1566129,1567518,1558793,1514067,1512155,1477860,1469099,1372600,1348777,1335583,1333702,1314515,1313660,1322583,1311506,1307145,1308589,1297028,1296292,1294363,1268541,1267147,1288797,1271948,1260415,1281833,1250909,1255802,1242571,1242487,1233758,1222799,1210510,1201364,1185216,1162105,1155732,1166706,1145829,1135012,1132872,1130409,1114805,1119515,1108291,1098369,1089004,1076400,1110402,1064142,1065132,1050160,1038307,1047342,1039933,1027452,1020299,1027882,1001131,993075,992326,996286,979365,976683,968932,955292,948642,945837,935829,961970,923175,909214,917525,905274,903761,891071,873863,873962,865940,879503,858605,856185,858270,855544,848806,834256,830876,829486,824273,819124,815891,810788,799652,796515,791807,784237,787601,785348,770904,773107,771194,761890,784038,763646,763842,757085,753081,749703,745269,750824,738575,728901,725765,729527,731123,718371,716263,717595,715626,717946,709232,704480,703912,702470,699523,698996,693171,698821,693018,682559,672061,668799,668661,669110,668099,658528,659536,658107,656359,656987,655247,648388,647632,644118,646199,651738,640135,637893,649894,635918,634758,631695,629414,619933,619916,622077,610727,609658,610703,605403,601702,605915,598229,596916,598263,594999,597459,590111,590768,587214,583951,580470,586353,593771,583478,581174,578393,586924,591503,579631,574043,576224,579220,573542,588209,568410,567553,568566,569277,585363,567171,563396,564661,563233,561757,560051,561619,557375,555863,551259,549948,544027,541262,549486,540167,538006,537139,544027,531790,537231,528855,527290,522718,523473,521910,517644,518139,528676,539937,515146,529708,513528,512485,504851,506738,517683,501349,509304,501459,495732,498796,494669,494293,488695,488110,481035,486435,478197,483958,466271,473463,477760,467448,461015,422497,435365,405102,392310,361437,359468,304259,267088,240135,233947,216564,209103,215586,166939,165958,162739,162650,160456,158893,153638,148263,149240,139273,132074,119317,117632,99145,98166,86266,81156,79758,72783,72374,69816,68019,64490,65402,63105,58062,55860,55053,50826,50168
2018年12月06日（昼）,4424918,4152244,3864472,3530147,3269596,3244519,2776407,2635338,2638672,2393873,2365078,2321829,2277839,2234449,2217175,2176575,2144656,2143404,2132977,2053550,2046825,2011466,2024138,1957653,1865601,1854968,1796084,1804718,1798084,1723540,1682967,1667691,1666434,1647945,1642863,1628533,1628180,1566361,1567855,1559127,1514416,1513567,1477787,1470683,1373011,1349136,1335703,1333912,1314528,1313707,1322924,1311585,1307215,1308757,1297083,1297927,1295561,1268645,1267248,1291230,1272391,1260437,1282461,1250930,1256025,1243109,1243377,1234288,1223148,1210762,1203062,1185863,1162161,1155956,1167138,1145837,1135006,1133745,1130718,1115120,1120354,1108659,1098527,1089435,1076505,1111027,1064414,1065736,1050088,1038722,1047901,1040364,1027588,1020455,1028985,1001218,993200,992558,997072,979529,976740,968993,955699,949138,946547,935991,962884,923253,909239,917571,905626,903838,891251,873923,874603,866112,880245,858667,856114,858426,855659,848909,834381,830914,829821,824510,819857,816355,811032,799691,796666,792069,784212,787749,785478,770952,773230,771395,761757,784436,763722,776132,757224,753148,749803,745268,751361,739153,728948,725818,729768,732095,718412,716280,717709,715695,718335,709339,704521,704107,702566,699814,699327,693332,699415,693476,682652,672109,668769,668627,669157,668156,658434,659755,658223,656381,657132,655404,648416,647658,644321,646417,652086,640323,637973,650165,636051,634868,631621,629536,620117,620009,622857,610743,609721,610911,605644,601747,606182,598285,596970,598307,595048,597616,590153,590957,587261,583963,580410,587145,595980,583776,581991,578411,587426,592135,579743,573957,576366,579531,573493,588157,568464,567613,568619,569449,586267,567279,564980,564772,563338,561865,560056,561714,557386,555839,551448,550196,543982,541290,549630,540278,538105,537263,544228,531793,537573,528868,527351,522796,523590,521958,517782,518227,530144,541791,515257,535202,513539,512628,504919,506859,518785,501478,509764,501748,495853,499140,494900,494481,488840,488367,481139,487480,478480,484106,466372,474662,478174,467893,461488,422498,436208,405375,392390,361430,359513,304317,267155,240212,233951,216608,209144,216045,166948,165968,162746,162714,160516,159430,153631,148193,149294,139300,132081,119357,117652,99133,98170,86289,81178,79757,72783,72378,69844,68028,64493,65464,63126,58055,55858,55098,50831,50163
2018年12月06日（夜）,4426169,4153254,3865374,3530112,3270796,3245434,2777287,2636694,2640749,2395608,2366454,2322737,2278404,2235801,2217754,2181246,2144575,2145628,2133873,2053715,2047235,2012136,2025535,1955328,1865676,1858204,1798827,1806689,1799613,1723710,1683742,1667967,1667096,1648629,1643710,1628606,1629593,1566921,1568419,1559958,1515069,1515941,1477740,1475210,1373932,1349562,1336025,1334463,1314736,1313831,1323392,1312107,1308305,1309152,1297240,1299866,1297608,1268770,1267520,1295482,1273132,1260438,1283861,1250984,1256664,1244220,1245302,1235618,1223789,1211131,1206722,1186908,1162378,1156358,1167794,1146002,1134981,1134818,1131322,1115769,1128128,1109501,1098850,1090061,1076700,1112114,1065048,1066999,1050163,1040142,1049244,1041301,1028078,1021464,1030494,1001395,993485,993289,999170,979964,976689,969183,956385,951456,947662,936582,964158,923391,909223,917741,905719,903935,891725,873779,875907,866457,881724,858910,856003,858694,856009,849133,834672,830938,830474,825018,820590,817166,811671,799730,796863,792526,784227,787917,785817,771096,774007,771596,761382,784974,763853,803258,757554,753374,750109,745293,752573,740497,729051,725933,730248,733813,718549,716379,717972,715767,719174,709623,704655,704500,702773,700302,700368,693732,700761,694168,682966,672265,668722,668661,669269,668273,657178,660042,659567,656474,657448,655762,648535,647805,644731,647114,652721,640699,638050,651106,636331,635114,631899,630010,620842,620255,624115,610753,609880,611314,606219,601866,606666,598402,597096,598423,595152,599054,590244,591295,587409,584304,580310,588848,598787,584338,584837,578438,588487,593562,580099,573819,576636,580051,573434,586826,568584,567442,568775,569943,587331,567791,565191,565095,563617,562051,560138,561925,557464,555830,552105,550701,543909,541400,549925,540468,538239,537415,544512,531900,538262,528925,527502,522760,523826,522073,518051,518417,531824,545997,515395,542247,513622,512893,505100,507207,521042,501813,510595,502326,496108,499915,495816,494885,489192,488891,481384,487842,479044,484465,466947,475862,479054,469175,462279,422392,437444,406186,392586,361409,359590,304424,267268,240332,233970,216659,209220,217249,166979,166006,162784,162845,160677,160301,153625,148197,149404,139360,132102,119389,117660,99126,98175,86312,81220,79751,72781,72386,69880,68066,64503,65595,63192,58049,55853,55160,50826,50153
2018年12月07日（昼）,4426672,4153803,3865818,3530088,3271292,3246079,2777741,2637196,2641506,2396368,2366998,2323229,2278212,2236993,2218017,2183130,2144596,2146439,2134862,2053751,2047367,2012320,2026862,1954219,1865884,1859398,1800663,1807518,1800032,1723765,1684056,1668105,1667324,1649180,1644073,1628638,1630089,1567220,1569294,1560233,1515275,1516903,1477686,1476934,1374294,1349802,1336134,1334664,1314763,1313848,1323628,1312336,1308661,1309213,1297310,1300639,1298482,1268895,1267580,1297823,1273445,1260433,1284559,1250921,1256864,1244652,1246164,1235870,1224084,1211336,1208560,1187564,1162460,1156616,1168580,1146059,1134968,1135318,1131544,1116062,1131429,1109869,1099010,1090430,1076762,1112422,1065352,1067607,1050177,1040723,1049788,1042163,1028240,1021822,1031327,1001500,993624,993803,1000235,980260,976617,969227,956700,952221,948244,936935,964722,923406,909190,917842,905965,903983,892131,873758,876525,866671,882414,859043,855929,858866,856124,849204,834840,830950,830780,825228,821174,817546,812180,799783,797013,792747,784236,788062,785964,771142,774399,771746,761213,785513,763900,809048,757685,753463,750164,745339,753222,740893,729084,725970,730493,734581,718588,716423,718090,715832,719654,709914,704704,704663,702874,700559,700854,693972,701239,694449,683086,672457,668700,668671,669358,668319,656973,660075,659784,656513,657588,655963,648556,647824,644947,647286,653060,640820,638183,651435,636510,635242,631990,630202,621143,620411,624639,610761,609928,611481,606346,602069,606842,598443,597159,598433,595212,599475,590292,591505,587472,584300,580262,589436,600212,584627,586893,578473,589080,594197,580188,573743,576726,580328,573373,585942,568731,567293,568797,570118,587641,567918,565278,565248,563721,562135,560256,561989,557493,555822,552358,550975,543867,541437,550041,540539,538286,537490,545468,531953,538598,528954,527596,522780,523945,522129,518149,518493,530512,548042,515450,545432,513655,512984,505160,507336,522177,501999,510885,502629,496212,500622,496207,495060,489337,489606,482261,487997,479275,484594,469368,476639,479401,469721,462622,422351,438040,406488,392750,361415,359667,304489,267365,240362,233976,216685,209236,217663,166973,166037,162792,162845,160674,160666,153626,148204,149438,139368,132110,119426,117685,99117,98176,86318,81236,79749,72783,72393,69901,68081,64507,65655,63218,58046,55851,55191,50825,50151
2018年12月07日（夜）,4427799,4154352,3866839,3529455,3272869,3246724,2778600,2638781,2644335,2398516,2368420,2324070,2278298,2238186,2218684,2186253,2144791,2146481,2135851,2053509,2047907,2012875,2031190,1951963,1866490,1862775,1804448,1809405,1800906,1723984,1684646,1668329,1667881,1650277,1645264,1628735,1631089,1567786,1570522,1561168,1515713,1519694,1476848,1480227,1375520,1350343,1336626,1335210,1314781,1314151,1323877,1312733,1309215,1309441,1297566,1302757,1299965,1269072,1268102,1302142,1274098,1260458,1286773,1250592,1257361,1245602,1247679,1237269,1224703,1211622,1211937,1188515,1162660,1157105,1169367,1146238,1134968,1137696,1132318,1116774,1134410,1110567,1099511,1091152,1076877,1113336,1066113,1068685,1050266,1041273,1051455,1043026,1028724,1022180,1032924,1001620,993923,995601,1002078,980557,976679,969435,957302,953759,949240,938122,965988,923577,909184,918323,906070,904025,892968,873867,879278,866886,884662,859252,855825,859173,856711,849488,838138,830962,831501,826622,822283,818421,812883,799838,797411,793563,784165,788294,786437,771238,774960,772041,760898,786145,764061,825251,758372,753645,750653,745385,754728,741536,729198,726113,731009,735973,718713,716550,718372,715973,720701,710222,704831,705010,703166,701024,701491,695893,702175,694960,683462,672789,668639,668738,669482,668454,656768,660168,660014,656605,658041,656718,648668,647907,645449,647861,654175,640993,638282,652866,636689,635525,632120,630535,621366,621769,625682,610760,610067,611790,606621,603036,607347,598562,597308,598553,595271,600600,590387,591837,587696,584613,580172,590722,602603,585382,589627,578509,590305,595773,580793,573617,576897,580817,573293,584933,569441,567307,568941,570655,588041,568368,565496,565581,564152,562260,560374,563077,557585,555809,552837,551786,543790,541539,550426,540683,538401,537695,546071,532050,539313,528978,528089,522897,524249,522257,518316,518734,530314,552945,515634,550690,513732,513288,505501,507708,524071,502369,511431,503218,496310,501500,496708,495309,489712,490279,483138,489058,479752,484527,472205,477225,480416,473895,463372,422347,439118,407178,392985,361429,359818,304669,267462,240483,234003,216741,209237,218541,166970,166068,162802,162897,160688,161211,153634,148358,149503,139376,132132,119463,117710,99111,98176,86340,81323,79741,72796,72383,69921,68112,64513,65727,63259,58041,55846,55258,50817,50139
2018年12月08日（昼）,4428342,4154730,3867498,3528682,3273619,3247150,2779494,2639508,2648218,2399789,2369155,2324610,2278489,2238970,2219103,2189376,2144781,2146293,2137086,2053755,2048173,2013655,2033068,1950917,1866854,1864275,1805479,1810301,1801575,1724707,1685039,1668542,1668210,1650846,1645951,1628747,1631561,1568139,1571056,1561168,1516142,1524740,1476158,1482155,1376072,1350723,1336841,1335574,1314894,1314236,1324009,1312905,1309479,1309528,1297670,1303856,1300799,1269164,1269089,1304216,1275723,1260493,1287856,1250529,1257612,1246329,1248267,1237866,1224995,1211766,1213550,1188948,1162759,1157408,1170715,1146271,1134959,1139562,1132797,1117134,1135651,1110901,1099754,1091517,1077009,1113794,1066490,1069148,1050298,1041643,1052287,1043774,1028966,1022334,1033907,1001750,994045,996059,1002853,980708,976577,969512,957638,954726,949792,938636,966640,923659,909153,918879,906395,904057,893134,874414,882515,867025,885726,859363,855749,859308,857147,849629,838090,830998,831894,827060,822934,818950,813345,799888,797576,794655,784167,788607,786705,771296,775245,772208,760655,786070,764151,831385,758799,753730,750936,745430,755413,741631,729238,726167,731362,736708,718791,716649,718522,715999,722137,710305,704876,705135,703258,701286,701781,697509,703065,695168,683622,672946,668615,668769,669525,668516,656670,660216,660140,656622,658296,657068,648715,647937,645703,647998,654849,641088,638605,653276,636788,635703,632179,630736,621643,622366,625985,610750,610117,611940,606721,603230,607737,598623,597371,598604,595330,601077,590434,592071,587817,584582,580096,591116,604599,585835,590114,578532,591105,596657,581093,573518,576991,581077,573257,586033,569568,567350,568996,570988,589050,568507,565616,565685,564360,562343,560470,563440,557637,555791,553059,552342,543757,541599,551150,540758,538820.3333,537668,546285,532110,539654,528997,528486,522944,524388,522363,518365,518848,530552,555644,515777,553568,513756,513471,505589,507847,525174,502515,511604,503600,496385,502327,496929,496870,489880,490718,484357,493229,479990,484535,472972,477541,480964,478244,463912,422348,439830,407573,393096,361406,359913,304756,268284,240538,234005,216758,209257,219256,166965,166086,162813,162961,160708,161534,153636,148391,149810,139415,132133,119525,117729,99102,98178,86362,81420,79737,72802,72398,69944,68130,64516,65819,63280,58038,55841,55305,50818,50129
2018年12月08日（夜）,4429969,4155843,3868993,3528469,3275945,3247988,2780388,2642005,2657876,2402504,2371148,2325546,2278780,2240786,2219851,2194733,2144821,2146736,2139223,2054464,2048971,2015768,2035679,1948984,1867583,1868125,1806510,1813008,1802244,1725833,1692063,1669128,1669361,1652114,1647513,1628845,1632875,1568743,1572124,1563038,1517243,1531812,1475776,1486228,1377365,1351329,1337425,1336560,1315171,1314546,1325111,1313494,1310265,1309671,1297938,1308652,1302370,1269288,1270077,1309222,1276649,1260619,1290622,1250207,1258263,1247664,1250044,1239468,1225714,1212059,1215164,1189973,1163370,1157954,1172557,1146320,1134958,1141699,1133899,1118164,1138836,1111693,1100426,1092384,1077578,1114949,1067468,1070247,1050392,1042153,1054819,1045785,1029721,1022824,1035868,1006571,994372,996990,1004709,981062,976684,969883,958612,956792,950950,939934,968262,923917,909091,919848,906524,904134,893779,875099,893578,867355,888034,859669,855619,859593,858265,850000,838512,831130,832675,828139,824747,820447,813745,800036,798010,795748,784268,789232,787446,771487,775851,772598,763930,786748,764339,844194,759658,753965,751500,745575,756968,741817,729438,726401,732406,738177,718953,716793,718799,716082,724888,710812,704917,705835,703608,701827,702452,698130,703956,695579,684162,673056,668532,668840,669639,668686,656519,660343,660504,656770,658971,657956,648907,648106,646264,648710,655449,641314,641904,654583,637134,636072,632375,631214,621848,622953,626367,610786,610263,612535,607789,603480,608128,598728,597490,598733,595461,602182,590604,592534,588062,585008,579965,591841,607432,586699,591043,578590,592444,598910,581848,573396,577181,581801,573183,588007,569762,567499,569127,571878,592013,569429,565798,566231,564997,562516,560983,564723,557797,555762,553575,552898,543653,541745,551933,540940,539239.6667,537859,546833,532295,540512,529043,529122,523090,524769,522658,518475,518990,530728,560081,516023,558302,513918,513688,506128,508179,527238,502925,512110,504437,496557,503405,497496,499495,490297,491631,486465,495240,480589,487499,476063,478076,482317,484274,465348,422349,442294,408798,393277,361402,360223,304961,270507,240735,234021,216845,209336,220658,166966,166129,162857,163488,160705,162001,153636,148810,150236,139505,132152,119614,117822,99090,98178,86397,81567,79732,72820,72493,69975,68165,64520,66024,63368,58035,55839,55354,50822,50104
2018年12月09日（昼）,4430684,4156262,3869647,3528429,3276712,3249605,2780991,2643516,2661933,2403734,2371901,2326196,2279030,2241688,2220519,2197084,2144914,2147057,2140313,2054858,2049267,2016743,2038027,1947951,1868024,1869807,1807375,1814191,1802652,1726651,1696376,1669579,1669847,1652683,1648214,1628893,1633399,1569188,1572663,1563707,1517749,1536702,1475602,1489061,1377918,1351647,1337582,1336918,1315322,1314616,1325658,1313667,1310544,1309836,1298024,1309341,1303151,1269350,1270731,1311921,1277071,1260668,1291675,1250057,1258564,1248582,1250725,1241435,1226029,1212208,1216980,1190756,1163820,1158501,1173576,1146370,1134921,1142574,1134497,1118515,1139954,1112035,1100682,1092896,1077913,1115634,1067902,1070856,1050443,1042442,1055786,1046642,1030011,1023094,1036909,1008743,994486,997322,1005366,981239,976716,970008,958941,957311,951567,940627,968859,924014,909052,920130,906905,904143,893966,875580,897759,867555,889090,859796,855542,859759,858876,850160,838758,831188,833868,828597,825709,821094,815941,800116,798228,796351,784291,789570,787696,771553,776190,772768,765934,786774,764527,846923,760198,754103,751734,745607,757606,741993,729494,726460,733176,738948,719011,716819,718914,716117,725911,711093,704969,706156,703781,702120,702745,698392,704429,695853,684348,673109,668494,668874,669687,668776,656429,660402,660636,656813,659213,658417,648946,648144,646559,648825,655746,641375,642859,656037,637578,636241,632463,631424,622303,623191,626566,610765,610328,612886,608199,603580,608340,598834,597568,598789,595479,602606,590707,592780,588168,584979,579849,592363,609593,587147,591529,578615,593107,600334,582162,573258,577258,582185,573144,589036,569817,567558,569215,572212,593875,570019,565823,566777,565191,562603,561113,565246,557842,555743,553852,553213,543616,541917,552319,541038,539659,538009,547097,532349,540984,529074,529389,523433,524909,522787,518502,519086,531432,562049,516157,560545,513983,513805,506252,508328,527914,503118,512347,505025,496668,504511,497775,500954,490492,492093,487242,496668,480828,490310,477300,478404,482871,488965,465980,422349,443861,409223,393408,361389,360325,305022,271095,240848,234034,216876,209369,221291,166925,166137,162879,163758,160706,162217,153635,148837,150449,139519,132154,119675,117913,99094,98178,86416,81611,79727,72824,72549,70017,68174,64527,66080,63397,58028,55836,55544,50821,50099
2018年12月09日（夜）,4432075,4157138,3871071,3528335,3278454,3253309,2782184,2645027,2670014,2406440,2373859,2327713,2279071,2243285,2221932,2201784,2145208,2147539,2141947,2055309,2049869,2018512,2041068,1945632,1868773,1873014,1806544,1816618,1803578,1728672,1699576,1670603,1670891,1653799,1649525,1628941,1634591,1569866,1573562,1571537,1518953,1544695,1475368,1493802,1379093,1352152,1338021,1337812,1315617,1314494,1326434,1313985,1311168,1310170,1298281,1310343,1304619,1269458,1271839,1316722,1277800,1260830,1293981,1250423,1259277,1249501,1252496,1243403,1226354,1212511,1218796,1192063,1164613,1159048,1175126,1146714,1134855,1144026,1135685,1119123,1142655,1112808,1101169,1093736,1078522,1117109,1068667,1072067,1050562,1042988,1057962,1048502,1030782,1023467,1038186,1014383,994779,998139,1006677,981577,976836,970278,959650,958461,953055,941921,969884,924266,908981,920623,907032,904181,894538,875938,905006,867839,891286,860047,855371,860080,860237,850475,839309,831283,836341,829225,827529,822621,818231,800246,798501,797694,784389,790109,788154,771696,776556,773092,767521,787184,764694,853708,761076,754250,752849,745717,758651,742249,729656,726641,734161,740218,719126,716781,719210,716166,728657,711320,705022,706607,704114,702566,703382,699164,705646,696128,685061,673174,668457,668919,669736,668983,656200,660510,660966,656916,659655,659384,649101,648241,647175,649801,656183,641514,645278,658315,638022,636491,632728,631813,623100,623602,626974,610739,610464,613609,609502,603869,608881,599023,597666,598918,595615,603362,590915,593201,588349,585244,579734,592886,612202,587963,592015,578656,594194,601758,582724,573121,577472,582871,573058,589720,569973,567662,569339,572903,598000,570953,565881,567324,565845,562738,561244,565769,558009,555719,554451,553842,543526,542093,552743,541223,540987,538160,548243,532506,541694,529104,529836,524545,525263,522985,518602,519425,532940,566089,516369,564664,514088,514275,506536,508716,529192,503485,513006,505909,496894,506017,498055,503412,490858,492916,488526,497751,481441,493480,478830,479004,483989,494646,467484,422347,445590,409993,393603,361377,360615,305175,272331,240962,234070,216932,209500,222998,166942,166158,162894,163922,160731,162602,153642,148885,150846,139556,132189,119785,117996,99067,98176,86446,81670,79706,72852,72614,70066,68200,64535,66205,63457,58022,55838,55734,50816,50075
